날짜,만5세 이하 코로나19 확진자 수(명)
2021-03-01,6
2021-03-02,7
2021-03-03,2
2021-03-04,1
2021-03-05,1
2021-03-06,2
2021-03-07,3
2021-03-08,3
2021-03-09,4
2021-03-10,4
2021-03-11,4
2021-03-12,2
2021-03-13,3
2021-03-14,6
2021-03-15,7
2021-03-16,1
2021-03-17,4
2021-03-18,2
2021-03-19,4
2021-03-20,2
2021-03-21,4
2021-03-22,3
2021-03-23,3
2021-03-24,3
2021-03-25,5
2021-03-26,5
2021-03-27,4
2021-03-28,1
2021-03-29,5
2021-03-30,6
2021-03-31,5
2021-04-02,4
2021-04-03,2
2021-04-04,3
2021-04-05,3
2021-04-06,4
2021-04-07,4
2021-04-08,3
2021-04-09,1
2021-04-10,8
2021-04-11,1
2021-04-12,2
2021-04-13,4
2021-04-14,4
2021-04-15,5
2021-04-16,7
2021-04-17,7
2021-04-18,4
2021-04-19,4
2021-04-20,6
2021-04-21,3
2021-04-22,8
2021-04-23,4
2021-04-24,2
2021-04-25,4
2021-04-26,4
2021-04-27,7
2021-04-28,8
2021-04-29,5
2021-04-30,4
2021-05-01,2
2021-05-02,3
2021-05-03,2
2021-05-04,5
2021-05-05,6
2021-05-06,5
2021-05-07,5
2021-05-08,10
2021-05-09,4
2021-05-10,3
2021-05-11,10
2021-05-12,5
2021-05-13,3
2021-05-14,7
2021-05-15,3
2021-05-16,3
2021-05-17,3
2021-05-18,5
2021-05-19,3
2021-05-20,4
2021-05-21,3
2021-05-22,2
2021-05-23,1
2021-05-24,2
2021-05-25,10
2021-05-26,4
2021-05-27,4
2021-05-28,8
2021-05-29,1
2021-05-30,2
2021-05-31,3
2021-06-01,6
2021-06-02,4
2021-06-03,7
2021-06-04,13
2021-06-05,4
2021-06-06,6
2021-06-07,6
2021-06-08,5
2021-06-09,3
2021-06-10,2
2021-06-11,3
2021-06-12,3
2021-06-13,3
2021-06-14,1
2021-06-15,3
2021-06-16,5
2021-06-17,3
2021-06-18,6
2021-06-19,3
2021-06-20,1
2021-06-21,1
2021-06-23,7
2021-06-24,14
2021-06-25,10
2021-06-26,4
2021-06-27,7
2021-06-28,1
2021-06-29,4
2021-06-30,8
2021-07-01,8
2021-07-02,8
2021-07-03,6
2021-07-04,8
2021-07-05,7
2021-07-06,6
2021-07-07,15
2021-07-08,16
2021-07-09,11
2021-07-10,9
2021-07-11,8
2021-07-12,19
2021-07-13,13
2021-07-14,15
2021-07-15,14
2021-07-16,17
2021-07-17,9
2021-07-18,13
2021-07-19,8
2021-07-20,11
2021-07-21,19
2021-07-22,19
2021-07-23,17
2021-07-24,11
2021-07-25,10
2021-07-26,10
2021-07-27,21
2021-07-28,18
2021-07-29,10
2021-07-30,12
2021-07-31,11
2021-08-01,9
2021-08-02,15
2021-08-03,11
2021-08-04,12
2021-08-05,17
2021-08-06,13
2021-08-07,14
2021-08-08,12
2021-08-09,7
2021-08-10,22
2021-08-11,13
2021-08-12,16
2021-08-13,12
2021-08-14,15
2021-08-15,4
2021-08-16,12
2021-08-17,19
2021-08-18,24
2021-08-19,25
2021-08-20,13
2021-08-21,14
2021-08-22,14
2021-08-23,21
2021-08-24,24
2021-08-25,10
2021-08-26,19
2021-08-27,16
2021-08-28,6
2021-08-29,15
2021-08-30,9
2021-08-31,17
2021-09-01,23
2021-09-02,17
2021-09-03,17
2021-09-04,20
2021-09-05,12
2021-09-06,15
2021-09-07,11
2021-09-08,13
2021-09-09,26
2021-09-10,18
2021-09-11,18
2021-09-12,16
2021-09-13,22
2021-09-14,25
2021-09-15,23
2021-09-16,17
2021-09-17,25
2021-09-18,24
2021-09-19,14
2021-09-20,18
2021-09-21,16
2021-09-22,17
2021-09-23,12
2021-09-24,34
2021-09-25,34
2021-09-26,21
2021-09-27,25
2021-09-28,24
2021-09-29,28
2021-09-30,22
2021-10-01,32
2021-10-02,20
2021-10-03,28
2021-10-04,11
2021-10-05,15
2021-10-06,25
2021-10-07,31
2021-10-08,31
2021-10-09,19
2021-10-10,14
2021-10-11,11
2021-10-12,21
2021-10-13,20
2021-10-14,37
2021-10-15,21
2021-10-16,17
2021-10-17,12
2021-10-18,8
2021-10-19,13
2021-10-20,23
2021-10-21,18
2021-10-22,25
2021-10-23,21
2021-10-24,15
2021-10-25,18
2021-10-26,33
2021-10-27,42
2021-10-28,29
2021-10-29,27
2021-10-30,27
2021-10-31,24
2021-11-01,35
2021-11-02,27
2021-11-03,33
2021-11-04,43
2021-11-05,40
2021-11-06,37
2021-11-07,26
2021-11-08,42
2021-11-09,30
2021-11-10,47
2021-11-11,34
2021-11-12,24
2021-11-13,28
2021-11-14,27
2021-11-15,36
2021-11-16,46
2021-11-17,37
2021-11-18,31
2021-11-19,43
2021-11-20,54
2021-11-21,60
2021-11-22,55
2021-11-23,35
2021-11-24,55
2021-11-25,52
2021-11-26,73
2021-11-27,60
2021-11-28,53
2021-11-29,45
2021-11-30,77
2021-12-01,73
2021-12-02,83
2021-12-03,93
2021-12-04,78
2021-12-05,85
2021-12-06,114
2021-12-07,117
2021-12-08,118
2021-12-09,122
2021-12-10,126
2021-12-11,109
2021-12-12,116
2021-12-13,112
2021-12-14,142
2021-12-15,127
2021-12-16,139
2021-12-17,167
2021-12-18,122
2021-12-19,115
2021-12-20,152
2021-12-21,156
2021-12-22,136
2021-12-23,135
2021-12-24,116
2021-12-25,105
2021-12-26,101
2021-12-27,90
2021-12-28,95
2021-12-29,115
2021-12-30,102
2021-12-31,92
2022-01-01,60
2022-01-02,44
2022-01-03,45
2022-01-04,51
2022-01-05,76
2022-01-06,31
2022-01-07,33
2022-01-08,46
2022-01-09,54
2022-01-10,44
2022-01-11,54
2022-01-12,46
2022-01-13,45
2022-01-14,43
2022-01-15,37
2022-01-16,57
2022-01-17,40
2022-01-18,51
2022-01-19,60
2022-01-20,57
2022-01-21,47
2022-01-22,61
2022-01-23,63
2022-01-24,82
2022-01-25,135
2022-01-26,120
2022-01-27,115
2022-01-28,126
2022-01-29,144
2022-01-30,153
2022-01-31,177
