날짜,염창동,등촌제1동,등촌제2동,등촌제3동,화곡본동,화곡제1동,화곡제2동,화곡제3동,화곡제4동,화곡제6동,화곡제8동,우장산동,가양제1동,가양제2동,가양제3동,발산제1동,공항동,방화제1동,방화제2동,방화제3동
2022-09-12,68,25,21,44,35,60,16,29,14,28,22,56,32,8,14,27,33,62,22,26
2022-09-13,89,38,38,48,50,101,36,38,37,43,32,67,62,22,26,65,63,64,50,48
2022-09-14,46,34,30,32,51,85,16,39,33,42,33,50,61,16,24,70,48,68,38,32
2022-09-15,49,23,18,34,21,43,17,24,22,27,25,39,29,8,14,47,28,50,27,27
2022-09-16,35,23,14,20,26,27,17,23,20,23,21,32,36,14,18,38,29,40,19,13
2022-09-17,24,8,6,20,10,14,1,10,6,13,5,19,9,5,8,26,18,18,19,9
2022-09-18,34,24,15,14,25,34,6,11,11,12,17,32,23,8,7,29,21,32,19,20
2022-09-20,59,24,20,26,34,60,10,17,16,24,26,39,32,11,11,24,41,37,29,16
2022-09-21,29,21,12,14,26,30,5,13,14,14,15,35,23,2,11,37,32,24,23,13
2022-09-22,30,4,7,13,8,31,3,18,17,13,11,27,15,4,12,23,15,26,16,11
2022-09-23,35,14,8,17,18,33,11,15,8,17,11,42,19,9,7,20,21,34,13,12
2022-09-24,24,9,11,21,17,26,7,17,15,11,6,30,22,5,16,34,21,35,19,16
2022-09-25,16,2,16,13,10,20,2,7,3,6,3,20,10,5,3,8,7,10,6,4
2022-09-26,31,15,11,17,23,44,16,10,12,11,20,42,27,10,11,37,24,54,15,34
2022-09-27,43,19,14,25,30,49,13,14,10,15,29,45,29,14,15,36,20,42,16,14
2022-09-28,44,18,12,20,19,31,11,15,6,12,21,19,25,5,10,24,18,31,13,16
2022-09-29,21,14,20,12,10,25,10,10,5,22,16,33,23,5,10,26,16,27,9,14
2022-09-30,24,7,13,19,25,19,9,8,9,11,13,21,17,9,8,25,17,22,11,15
2022-10-01,31,22,7,39,23,27,5,6,10,8,12,20,21,7,6,27,14,13,9,17
2022-10-02,16,13,6,4,13,6,4,3,2,7,3,11,4,3,3,12,2,5,2,3
2022-10-03,12,11,4,14,15,15,8,3,6,5,11,28,15,4,4,13,12,17,2,3
2022-10-04,31,22,6,19,19,32,12,16,11,13,20,37,28,10,17,41,21,11,16,22
2022-10-05,22,10,4,21,16,34,1,15,8,12,21,29,19,6,4,19,13,25,11,9
2022-10-06,21,12,7,22,6,24,8,7,6,11,17,23,16,7,6,22,13,16,14,8
2022-10-07,19,16,3,15,19,11,7,17,8,9,13,19,24,4,8,15,15,16,14,10
2022-10-08,13,10,5,19,12,17,5,11,2,12,7,23,16,8,8,15,15,17,6,10
2022-10-09,11,5,7,6,8,6,1,1,2,2,2,6,9,2,1,12,4,6,2,6
2022-10-10,13,12,1,5,11,28,5,5,3,6,5,18,18,0,2,15,7,9,8,8
2022-10-11,30,17,8,16,21,35,6,12,15,17,17,27,30,8,12,31,16,17,16,12
2022-10-12,29,12,7,15,16,56,12,12,10,17,20,29,19,11,8,17,15,26,21,13
2022-10-13,17,11,8,19,26,38,10,14,6,12,9,21,19,10,9,20,21,21,14,8
2022-10-14,17,11,13,16,18,29,9,8,4,18,13,14,24,6,5,22,11,18,18,16
2022-10-15,34,14,8,20,8,38,12,5,5,11,17,25,27,1,6,20,13,10,19,9
2022-10-16,13,11,5,4,8,18,2,4,7,9,2,10,19,3,6,6,8,7,11,5
2022-10-17,35,22,12,26,16,30,10,29,16,18,13,45,41,9,13,29,31,30,17,19
2022-10-18,39,18,17,28,30,74,5,13,17,14,14,36,27,8,7,20,24,25,12,19
2022-10-19,35,9,7,15,14,29,12,18,14,20,17,35,27,2,8,20,11,29,13,21
2022-10-20,29,15,11,20,19,49,7,10,9,18,14,23,14,6,6,20,21,21,19,20
2022-10-21,53,18,18,29,18,48,5,15,10,12,13,28,21,8,9,34,15,35,17,12
2022-10-22,42,15,4,30,23,45,5,18,9,15,15,25,32,7,15,27,27,18,5,19
2022-10-23,21,10,6,11,17,18,4,7,1,2,7,20,8,4,2,8,8,10,5,5
2022-10-24,41,27,15,32,29,45,15,19,15,27,22,48,36,16,17,48,35,36,27,32
2022-10-25,47,26,17,25,24,74,15,14,14,20,19,43,32,12,12,30,28,53,14,24
2022-10-26,34,19,12,25,30,60,9,13,5,26,23,41,25,8,10,26,34,27,15,17
2022-10-27,39,23,18,28,28,30,9,25,18,20,20,36,30,8,12,39,37,44,20,16
2022-10-28,53,23,20,27,20,47,17,13,17,20,22,35,25,14,18,44,22,42,28,15
2022-10-29,43,20,19,32,31,51,7,24,18,16,19,39,33,11,16,41,26,30,12,20
2022-10-30,33,12,11,15,16,27,7,10,5,15,11,21,15,6,4,17,12,14,3,11
2022-10-31,76,36,39,39,39,56,22,32,14,30,35,51,51,12,12,55,32,73,27,20
2022-11-01,72,33,25,36,36,51,12,26,14,30,25,40,49,19,16,39,29,60,25,20
2022-11-02,48,29,18,30,20,48,15,18,19,42,23,43,50,6,12,31,27,54,23,25
2022-11-03,59,29,27,33,27,45,9,18,24,32,16,45,35,10,12,45,23,51,21,19
2022-11-04,33,26,19,30,23,40,10,18,22,23,12,40,23,7,13,29,31,57,20,15
2022-11-05,39,29,19,23,16,47,14,14,14,19,10,22,22,9,14,45,29,51,19,18
2022-11-06,27,12,12,11,18,9,7,7,6,5,3,18,17,16,13,10,17,9,9,9
2022-11-07,68,39,35,32,62,23,22,22,19,19,16,56,51,48,40,31,55,29,25,24
2022-11-08,63,44,38,38,61,25,25,24,23,19,14,61,58,57,55,29,59,28,27,27
2022-11-09,64,40,38,33,62,20,20,20,16,16,13,62,55,47,43,29,57,26,25,24
2022-11-10,58,34,34,33,55,25,24,17,16,15,14,46,38,38,34,32,42,28,26,25
2022-11-11,65,35,35,34,63,21,21,19,16,14,13,61,44,41,38,30,60,28,24,22
2022-11-12,62,35,31,27,55,22,22,20,19,19,18,50,47,43,41,27,47,26,25,23
2022-11-13,32,19,15,14,29,7,7,4,4,3,1,25,23,20,19,11,25,11,8,7
2022-11-14,96,40,40,38,77,31,29,25,25,20,13,68,58,43,41,37,64,35,35,31
2022-11-15,60,43,43,39,59,27,26,24,23,21,14,56,52,47,45,37,52,32,32,28
2022-11-16,61,32,31,28,58,22,21,19,18,16,4,58,47,45,44,26,48,25,23,23
2022-11-17,43,36,18,29,36,48,17,26,18,38,32,45,41,15,12,39,37,40,31,19
2022-11-18,60,34,34,29,49,20,18,15,12,11,10,40,39,39,37,26,39,22,21,20
2022-11-19,60,34,31,27,52,24,20,18,14,11,10,41,40,38,34,26,40,25,25,25
2022-11-20,32,19,19,17,27,7,7,7,6,4,3,25,24,20,19,16,25,16,10,9
2022-11-21,80,43,38,34,69,28,26,24,22,19,17,65,61,55,48,34,63,34,32,31
2022-11-22,83,47,46,38,71,29,22,21,20,17,12,64,54,52,47,34,61,34,32,31
2022-11-23,68,39,37,34,63,27,27,24,20,17,14,54,54,43,39,34,54,32,29,29
2022-11-24,75,40,33,32,58,22,20,17,13,12,12,58,53,48,41,31,55,28,27,26
2022-11-25,52,39,34,32,50,24,22,18,15,15,15,46,44,43,40,30,44,26,26,25
2022-11-26,61,35,34,31,59,23,20,20,18,14,7,58,48,42,41,28,53,25,25,23
2022-11-27,31,15,14,14,31,8,8,4,4,3,3,27,21,20,17,12,23,11,10,10
2022-11-28,73,45,40,38,69,32,30,27,26,26,14,65,57,54,45,37,58,36,35,32
2022-11-29,91,43,42,39,65,29,25,23,18,16,16,58,46,45,45,38,50,35,34,31
2022-11-30,62,29,29,27,60,22,20,15,13,13,9,59,51,37,34,27,57,25,25,24
2022-12-01,53,22,21,41,38,55,27,21,20,27,25,51,52,11,18,39,34,46,20,19
2022-12-02,49,29,23,34,34,55,25,26,12,32,20,58,44,11,16,49,30,50,17,29
2022-12-03,45,39,22,44,25,56,29,27,22,41,19,56,29,10,17,49,29,35,21,22
2022-12-04,25,13,4,17,15,22,8,9,4,6,13,16,18,0,7,14,17,16,18,8
2022-12-05,76,40,20,40,42,72,33,25,27,39,35,74,65,21,21,53,46,74,26,27
2022-12-06,90,50,38,47,48,90,22,41,27,41,38,66,59,16,24,71,36,65,31,38
2022-12-07,57,38,23,40,41,83,17,25,12,27,30,50,29,23,19,48,44,51,35,30
2022-12-08,69,36,24,49,41,67,18,39,23,46,29,68,66,15,14,61,40,53,32,18
2022-12-09,85,45,25,41,33,70,22,36,28,33,27,62,51,28,22,51,44,63,33,32
2022-12-10,61,44,26,42,56,79,20,31,20,34,35,51,54,16,24,51,49,54,29,23
2022-12-11,25,19,11,19,12,23,6,11,6,14,11,21,22,10,7,24,13,6,13,2
2022-12-12,84,52,38,49,44,84,28,36,34,38,31,88,67,20,22,71,59,66,37,26
2022-12-13,94,42,29,59,65,79,15,21,29,54,37,74,60,16,32,74,47,74,29,27
2022-12-14,60,43,27,43,61,80,19,32,26,45,33,66,77,21,20,70,52,68,24,26
2022-12-15,71,49,39,45,42,60,20,28,28,38,24,77,57,19,11,70,47,66,21,29
2022-12-16,73,35,35,43,38,83,18,34,29,36,23,74,49,12,23,50,48,68,33,28
2022-12-17,64,45,26,47,57,74,25,19,23,41,25,77,63,22,23,68,44,90,23,24
2022-12-18,32,20,13,16,15,26,6,9,4,20,18,25,11,10,11,29,18,20,10,8
2022-12-19,92,50,30,47,67,95,26,26,19,46,36,74,94,26,13,73,71,81,47,40
2022-12-20,93,55,33,62,67,105,32,35,40,42,38,103,85,30,26,68,67,79,38,43
2022-12-21,67,51,23,39,58,69,21,28,7,31,26,82,59,25,28,72,52,75,36,34
2022-12-22,67,24,29,68,47,84,30,25,30,39,42,75,78,24,12,60,67,62,27,23
2022-12-23,81,34,33,34,45,75,22,22,27,33,29,66,70,18,18,62,37,72,33,44
2022-12-24,64,37,26,46,42,78,18,26,22,34,34,63,55,17,11,61,38,67,34,43
2022-12-25,28,19,11,28,15,21,7,12,5,18,7,26,22,6,2,23,11,15,7,5
2022-12-26,76,45,28,44,58,100,21,40,35,42,45,91,101,28,24,75,53,84,37,29
2022-12-27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
2022-12-28,77,33,45,49,39,95,18,38,24,41,30,59,66,29,24,54,40,65,26,19
2022-12-29,67,23,32,43,37,77,34,35,37,28,23,79,64,19,18,52,58,65,25,33
2022-12-30,64,41,37,37,40,69,19,33,25,33,24,68,42,12,15,41,46,57,29,32
2022-12-31,72,36,31,55,51,70,27,31,28,28,25,75,57,18,14,44,36,73,48,27
