연번,날짜,방문자수,관리부서
1,2024-01-01,102,대전광역시 서구 관저문예회관
2,2024-01-02,101,대전광역시 서구 관저문예회관
3,2024-01-03,132,대전광역시 서구 관저문예회관
4,2024-01-04,102,대전광역시 서구 관저문예회관
5,2024-01-05,98,대전광역시 서구 관저문예회관
6,2024-01-06,102,대전광역시 서구 관저문예회관
7,2024-01-07,89,대전광역시 서구 관저문예회관
8,2024-01-08,81,대전광역시 서구 관저문예회관
9,2024-01-09,99,대전광역시 서구 관저문예회관
10,2024-01-10,121,대전광역시 서구 관저문예회관
11,2024-01-11,162,대전광역시 서구 관저문예회관
12,2024-01-12,98,대전광역시 서구 관저문예회관
13,2024-01-13,114,대전광역시 서구 관저문예회관
14,2024-01-14,52,대전광역시 서구 관저문예회관
15,2024-01-15,72,대전광역시 서구 관저문예회관
16,2024-01-16,62,대전광역시 서구 관저문예회관
17,2024-01-17,66,대전광역시 서구 관저문예회관
18,2024-01-18,65,대전광역시 서구 관저문예회관
19,2024-01-19,120,대전광역시 서구 관저문예회관
20,2024-01-20,141,대전광역시 서구 관저문예회관
21,2024-01-21,66,대전광역시 서구 관저문예회관
22,2024-01-22,54,대전광역시 서구 관저문예회관
23,2024-01-23,52,대전광역시 서구 관저문예회관
24,2024-01-24,320,대전광역시 서구 관저문예회관
25,2024-01-25,102,대전광역시 서구 관저문예회관
26,2024-01-26,204,대전광역시 서구 관저문예회관
27,2024-01-27,133,대전광역시 서구 관저문예회관
28,2024-01-28,71,대전광역시 서구 관저문예회관
29,2024-01-29,61,대전광역시 서구 관저문예회관
30,2024-01-30,87,대전광역시 서구 관저문예회관
31,2024-01-31,76,대전광역시 서구 관저문예회관
32,2024-02-01,130,대전광역시 서구 관저문예회관
33,2024-02-02,101,대전광역시 서구 관저문예회관
34,2024-02-03,88,대전광역시 서구 관저문예회관
35,2024-02-04,76,대전광역시 서구 관저문예회관
36,2024-02-05,65,대전광역시 서구 관저문예회관
37,2024-02-06,85,대전광역시 서구 관저문예회관
38,2024-02-07,96,대전광역시 서구 관저문예회관
39,2024-02-08,63,대전광역시 서구 관저문예회관
40,2024-02-09,166,대전광역시 서구 관저문예회관
41,2024-02-10,89,대전광역시 서구 관저문예회관
42,2024-02-11,93,대전광역시 서구 관저문예회관
43,2024-02-12,77,대전광역시 서구 관저문예회관
44,2024-02-13,71,대전광역시 서구 관저문예회관
45,2024-02-14,77,대전광역시 서구 관저문예회관
46,2024-02-15,76,대전광역시 서구 관저문예회관
47,2024-02-16,89,대전광역시 서구 관저문예회관
48,2024-02-17,98,대전광역시 서구 관저문예회관
49,2024-02-18,81,대전광역시 서구 관저문예회관
50,2024-02-19,106,대전광역시 서구 관저문예회관
51,2024-02-20,101,대전광역시 서구 관저문예회관
52,2024-02-21,90,대전광역시 서구 관저문예회관
53,2024-02-22,89,대전광역시 서구 관저문예회관
54,2024-02-23,80,대전광역시 서구 관저문예회관
55,2024-02-24,121,대전광역시 서구 관저문예회관
56,2024-02-25,69,대전광역시 서구 관저문예회관
57,2024-02-26,68,대전광역시 서구 관저문예회관
58,2024-02-27,79,대전광역시 서구 관저문예회관
59,2024-02-28,290,대전광역시 서구 관저문예회관
60,2024-02-29,98,대전광역시 서구 관저문예회관
61,2024-03-01,155,대전광역시 서구 관저문예회관
62,2024-03-02,176,대전광역시 서구 관저문예회관
63,2024-03-03,130,대전광역시 서구 관저문예회관
64,2024-03-04,153,대전광역시 서구 관저문예회관
65,2024-03-05,166,대전광역시 서구 관저문예회관
66,2024-03-06,175,대전광역시 서구 관저문예회관
67,2024-03-07,117,대전광역시 서구 관저문예회관
68,2024-03-08,106,대전광역시 서구 관저문예회관
69,2024-03-09,95,대전광역시 서구 관저문예회관
70,2024-03-10,70,대전광역시 서구 관저문예회관
71,2024-03-11,76,대전광역시 서구 관저문예회관
72,2024-03-12,70,대전광역시 서구 관저문예회관
73,2024-03-13,83,대전광역시 서구 관저문예회관
74,2024-03-14,78,대전광역시 서구 관저문예회관
75,2024-03-15,232,대전광역시 서구 관저문예회관
76,2024-03-16,93,대전광역시 서구 관저문예회관
77,2024-03-17,85,대전광역시 서구 관저문예회관
78,2024-03-18,87,대전광역시 서구 관저문예회관
79,2024-03-19,86,대전광역시 서구 관저문예회관
80,2024-03-20,116,대전광역시 서구 관저문예회관
81,2024-03-21,121,대전광역시 서구 관저문예회관
82,2024-03-22,128,대전광역시 서구 관저문예회관
83,2024-03-23,100,대전광역시 서구 관저문예회관
84,2024-03-24,98,대전광역시 서구 관저문예회관
85,2024-03-25,72,대전광역시 서구 관저문예회관
86,2024-03-26,88,대전광역시 서구 관저문예회관
87,2024-03-27,104,대전광역시 서구 관저문예회관
88,2024-03-28,108,대전광역시 서구 관저문예회관
89,2024-03-29,90,대전광역시 서구 관저문예회관
90,2024-03-30,100,대전광역시 서구 관저문예회관
91,2024-03-31,70,대전광역시 서구 관저문예회관
92,2024-04-01,84,대전광역시 서구 관저문예회관
93,2024-04-02,94,대전광역시 서구 관저문예회관
94,2024-04-03,101,대전광역시 서구 관저문예회관
95,2024-04-04,95,대전광역시 서구 관저문예회관
96,2024-04-05,146,대전광역시 서구 관저문예회관
97,2024-04-06,91,대전광역시 서구 관저문예회관
98,2024-04-07,105,대전광역시 서구 관저문예회관
99,2024-04-08,95,대전광역시 서구 관저문예회관
100,2024-04-09,95,대전광역시 서구 관저문예회관
101,2024-04-10,89,대전광역시 서구 관저문예회관
102,2024-04-11,79,대전광역시 서구 관저문예회관
103,2024-04-12,302,대전광역시 서구 관저문예회관
104,2024-04-13,105,대전광역시 서구 관저문예회관
105,2024-04-14,98,대전광역시 서구 관저문예회관
106,2024-04-15,84,대전광역시 서구 관저문예회관
107,2024-04-16,98,대전광역시 서구 관저문예회관
108,2024-04-17,123,대전광역시 서구 관저문예회관
109,2024-04-18,105,대전광역시 서구 관저문예회관
110,2024-04-19,152,대전광역시 서구 관저문예회관
111,2024-04-20,110,대전광역시 서구 관저문예회관
112,2024-04-21,74,대전광역시 서구 관저문예회관
113,2024-04-22,79,대전광역시 서구 관저문예회관
114,2024-04-23,111,대전광역시 서구 관저문예회관
115,2024-04-24,266,대전광역시 서구 관저문예회관
116,2024-04-25,241,대전광역시 서구 관저문예회관
117,2024-04-26,166,대전광역시 서구 관저문예회관
118,2024-04-27,159,대전광역시 서구 관저문예회관
119,2024-04-28,102,대전광역시 서구 관저문예회관
120,2024-04-29,80,대전광역시 서구 관저문예회관
121,2024-04-30,111,대전광역시 서구 관저문예회관
122,2024-05-01,183,대전광역시 서구 관저문예회관
123,2024-05-02,220,대전광역시 서구 관저문예회관
124,2024-05-03,235,대전광역시 서구 관저문예회관
125,2024-05-04,75,대전광역시 서구 관저문예회관
126,2024-05-05,83,대전광역시 서구 관저문예회관
127,2024-05-06,87,대전광역시 서구 관저문예회관
128,2024-05-07,95,대전광역시 서구 관저문예회관
129,2024-05-08,254,대전광역시 서구 관저문예회관
130,2024-05-09,191,대전광역시 서구 관저문예회관
131,2024-05-10,144,대전광역시 서구 관저문예회관
132,2024-05-11,188,대전광역시 서구 관저문예회관
133,2024-05-12,96,대전광역시 서구 관저문예회관
134,2024-05-13,90,대전광역시 서구 관저문예회관
135,2024-05-14,125,대전광역시 서구 관저문예회관
136,2024-05-15,153,대전광역시 서구 관저문예회관
137,2024-05-16,122,대전광역시 서구 관저문예회관
138,2024-05-17,149,대전광역시 서구 관저문예회관
139,2024-05-18,120,대전광역시 서구 관저문예회관
140,2024-05-19,83,대전광역시 서구 관저문예회관
141,2024-05-20,85,대전광역시 서구 관저문예회관
142,2024-05-21,85,대전광역시 서구 관저문예회관
143,2024-05-22,124,대전광역시 서구 관저문예회관
144,2024-05-23,236,대전광역시 서구 관저문예회관
145,2024-05-24,298,대전광역시 서구 관저문예회관
146,2024-05-25,122,대전광역시 서구 관저문예회관
147,2024-05-26,79,대전광역시 서구 관저문예회관
148,2024-05-27,93,대전광역시 서구 관저문예회관
149,2024-05-28,84,대전광역시 서구 관저문예회관
150,2024-05-29,236,대전광역시 서구 관저문예회관
151,2024-05-30,144,대전광역시 서구 관저문예회관
152,2024-05-31,103,대전광역시 서구 관저문예회관
153,2024-06-01,86,대전광역시 서구 관저문예회관
154,2024-06-02,64,대전광역시 서구 관저문예회관
155,2024-06-03,79,대전광역시 서구 관저문예회관
156,2024-06-04,86,대전광역시 서구 관저문예회관
157,2024-06-05,83,대전광역시 서구 관저문예회관
158,2024-06-06,91,대전광역시 서구 관저문예회관
159,2024-06-07,93,대전광역시 서구 관저문예회관
160,2024-06-08,92,대전광역시 서구 관저문예회관
161,2024-06-09,88,대전광역시 서구 관저문예회관
162,2024-06-10,85,대전광역시 서구 관저문예회관
163,2024-06-11,75,대전광역시 서구 관저문예회관
164,2024-06-12,103,대전광역시 서구 관저문예회관
165,2024-06-13,122,대전광역시 서구 관저문예회관
166,2024-06-14,301,대전광역시 서구 관저문예회관
167,2024-06-15,94,대전광역시 서구 관저문예회관
168,2024-06-16,68,대전광역시 서구 관저문예회관
169,2024-06-17,77,대전광역시 서구 관저문예회관
170,2024-06-18,76,대전광역시 서구 관저문예회관
171,2024-06-19,322,대전광역시 서구 관저문예회관
172,2024-06-20,112,대전광역시 서구 관저문예회관
173,2024-06-21,88,대전광역시 서구 관저문예회관
174,2024-06-22,84,대전광역시 서구 관저문예회관
175,2024-06-23,72,대전광역시 서구 관저문예회관
176,2024-06-24,80,대전광역시 서구 관저문예회관
177,2024-06-25,258,대전광역시 서구 관저문예회관
178,2024-06-26,76,대전광역시 서구 관저문예회관
179,2024-06-27,98,대전광역시 서구 관저문예회관
180,2024-06-28,136,대전광역시 서구 관저문예회관
181,2024-06-29,98,대전광역시 서구 관저문예회관
182,2024-06-30,89,대전광역시 서구 관저문예회관
183,2024-07-01,97,대전광역시 서구 관저문예회관
184,2024-07-02,96,대전광역시 서구 관저문예회관
185,2024-07-03,90,대전광역시 서구 관저문예회관
186,2024-07-04,122,대전광역시 서구 관저문예회관
187,2024-07-05,81,대전광역시 서구 관저문예회관
188,2024-07-06,80,대전광역시 서구 관저문예회관
189,2024-07-07,75,대전광역시 서구 관저문예회관
190,2024-07-08,85,대전광역시 서구 관저문예회관
191,2024-07-09,97,대전광역시 서구 관저문예회관
192,2024-07-10,97,대전광역시 서구 관저문예회관
193,2024-07-11,129,대전광역시 서구 관저문예회관
194,2024-07-12,682,대전광역시 서구 관저문예회관
195,2024-07-13,187,대전광역시 서구 관저문예회관
196,2024-07-14,87,대전광역시 서구 관저문예회관
197,2024-07-15,93,대전광역시 서구 관저문예회관
198,2024-07-16,103,대전광역시 서구 관저문예회관
199,2024-07-17,108,대전광역시 서구 관저문예회관
200,2024-07-18,138,대전광역시 서구 관저문예회관
201,2024-07-19,130,대전광역시 서구 관저문예회관
202,2024-07-20,116,대전광역시 서구 관저문예회관
203,2024-07-21,113,대전광역시 서구 관저문예회관
204,2024-07-22,140,대전광역시 서구 관저문예회관
205,2024-07-23,157,대전광역시 서구 관저문예회관
206,2024-07-24,167,대전광역시 서구 관저문예회관
207,2024-07-25,258,대전광역시 서구 관저문예회관
208,2024-07-26,269,대전광역시 서구 관저문예회관
209,2024-07-27,114,대전광역시 서구 관저문예회관
210,2024-07-28,89,대전광역시 서구 관저문예회관
211,2024-07-29,96,대전광역시 서구 관저문예회관
212,2024-07-30,95,대전광역시 서구 관저문예회관
213,2024-07-31,102,대전광역시 서구 관저문예회관
214,2024-08-01,108,대전광역시 서구 관저문예회관
215,2024-08-02,75,대전광역시 서구 관저문예회관
216,2024-08-03,76,대전광역시 서구 관저문예회관
217,2024-08-04,68,대전광역시 서구 관저문예회관
218,2024-08-05,73,대전광역시 서구 관저문예회관
219,2024-08-06,70,대전광역시 서구 관저문예회관
220,2024-08-07,91,대전광역시 서구 관저문예회관
221,2024-08-08,94,대전광역시 서구 관저문예회관
222,2024-08-09,90,대전광역시 서구 관저문예회관
223,2024-08-10,102,대전광역시 서구 관저문예회관
224,2024-08-11,74,대전광역시 서구 관저문예회관
225,2024-08-12,81,대전광역시 서구 관저문예회관
226,2024-08-13,74,대전광역시 서구 관저문예회관
227,2024-08-14,74,대전광역시 서구 관저문예회관
228,2024-08-15,106,대전광역시 서구 관저문예회관
229,2024-08-16,85,대전광역시 서구 관저문예회관
230,2024-08-17,89,대전광역시 서구 관저문예회관
231,2024-08-18,77,대전광역시 서구 관저문예회관
232,2024-08-19,71,대전광역시 서구 관저문예회관
233,2024-08-20,85,대전광역시 서구 관저문예회관
234,2024-08-21,127,대전광역시 서구 관저문예회관
235,2024-08-22,256,대전광역시 서구 관저문예회관
236,2024-08-23,129,대전광역시 서구 관저문예회관
237,2024-08-24,107,대전광역시 서구 관저문예회관
238,2024-08-25,72,대전광역시 서구 관저문예회관
239,2024-08-26,77,대전광역시 서구 관저문예회관
240,2024-08-27,89,대전광역시 서구 관저문예회관
241,2024-08-28,258,대전광역시 서구 관저문예회관
242,2024-08-29,102,대전광역시 서구 관저문예회관
243,2024-08-30,107,대전광역시 서구 관저문예회관
244,2024-08-31,101,대전광역시 서구 관저문예회관
245,2024-09-01,86,대전광역시 서구 관저문예회관
246,2024-09-02,89,대전광역시 서구 관저문예회관
247,2024-09-03,91,대전광역시 서구 관저문예회관
248,2024-09-04,116,대전광역시 서구 관저문예회관
249,2024-09-05,156,대전광역시 서구 관저문예회관
250,2024-09-06,168,대전광역시 서구 관저문예회관
251,2024-09-07,249,대전광역시 서구 관저문예회관
252,2024-09-08,93,대전광역시 서구 관저문예회관
253,2024-09-09,97,대전광역시 서구 관저문예회관
254,2024-09-10,163,대전광역시 서구 관저문예회관
255,2024-09-11,184,대전광역시 서구 관저문예회관
256,2024-09-12,157,대전광역시 서구 관저문예회관
257,2024-09-13,122,대전광역시 서구 관저문예회관
258,2024-09-14,105,대전광역시 서구 관저문예회관
259,2024-09-15,65,대전광역시 서구 관저문예회관
260,2024-09-16,86,대전광역시 서구 관저문예회관
261,2024-09-17,94,대전광역시 서구 관저문예회관
262,2024-09-18,109,대전광역시 서구 관저문예회관
263,2024-09-19,120,대전광역시 서구 관저문예회관
264,2024-09-20,140,대전광역시 서구 관저문예회관
265,2024-09-21,120,대전광역시 서구 관저문예회관
266,2024-09-22,77,대전광역시 서구 관저문예회관
267,2024-09-23,70,대전광역시 서구 관저문예회관
268,2024-09-24,93,대전광역시 서구 관저문예회관
269,2024-09-25,104,대전광역시 서구 관저문예회관
270,2024-09-26,78,대전광역시 서구 관저문예회관
271,2024-09-27,59,대전광역시 서구 관저문예회관
272,2024-09-28,59,대전광역시 서구 관저문예회관
273,2024-09-29,69,대전광역시 서구 관저문예회관
274,2024-09-30,54,대전광역시 서구 관저문예회관
275,2024-10-01,70,대전광역시 서구 관저문예회관
276,2024-10-02,81,대전광역시 서구 관저문예회관
277,2024-10-03,110,대전광역시 서구 관저문예회관
278,2024-10-04,106,대전광역시 서구 관저문예회관
279,2024-10-05,221,대전광역시 서구 관저문예회관
280,2024-10-06,87,대전광역시 서구 관저문예회관
281,2024-10-07,72,대전광역시 서구 관저문예회관
282,2024-10-08,70,대전광역시 서구 관저문예회관
283,2024-10-09,129,대전광역시 서구 관저문예회관
284,2024-10-10,107,대전광역시 서구 관저문예회관
285,2024-10-11,77,대전광역시 서구 관저문예회관
286,2024-10-12,258,대전광역시 서구 관저문예회관
287,2024-10-13,67,대전광역시 서구 관저문예회관
288,2024-10-14,88,대전광역시 서구 관저문예회관
289,2024-10-15,132,대전광역시 서구 관저문예회관
290,2024-10-16,365,대전광역시 서구 관저문예회관
291,2024-10-17,117,대전광역시 서구 관저문예회관
292,2024-10-18,102,대전광역시 서구 관저문예회관
293,2024-10-19,271,대전광역시 서구 관저문예회관
294,2024-10-20,90,대전광역시 서구 관저문예회관
295,2024-10-21,86,대전광역시 서구 관저문예회관
296,2024-10-22,109,대전광역시 서구 관저문예회관
297,2024-10-23,126,대전광역시 서구 관저문예회관
298,2024-10-24,115,대전광역시 서구 관저문예회관
299,2024-10-25,187,대전광역시 서구 관저문예회관
300,2024-10-26,195,대전광역시 서구 관저문예회관
301,2024-10-27,90,대전광역시 서구 관저문예회관
302,2024-10-28,99,대전광역시 서구 관저문예회관
303,2024-10-29,321,대전광역시 서구 관저문예회관
304,2024-10-30,264,대전광역시 서구 관저문예회관
305,2024-10-31,150,대전광역시 서구 관저문예회관
306,2024-11-01,192,대전광역시 서구 관저문예회관
307,2024-11-02,158,대전광역시 서구 관저문예회관
308,2024-11-03,94,대전광역시 서구 관저문예회관
309,2024-11-04,108,대전광역시 서구 관저문예회관
310,2024-11-05,122,대전광역시 서구 관저문예회관
311,2024-11-06,217,대전광역시 서구 관저문예회관
312,2024-11-07,121,대전광역시 서구 관저문예회관
313,2024-11-08,145,대전광역시 서구 관저문예회관
314,2024-11-09,157,대전광역시 서구 관저문예회관
315,2024-11-10,101,대전광역시 서구 관저문예회관
316,2024-11-11,130,대전광역시 서구 관저문예회관
317,2024-11-12,115,대전광역시 서구 관저문예회관
318,2024-11-13,268,대전광역시 서구 관저문예회관
319,2024-11-14,121,대전광역시 서구 관저문예회관
320,2024-11-15,296,대전광역시 서구 관저문예회관
321,2024-11-16,120,대전광역시 서구 관저문예회관
322,2024-11-17,165,대전광역시 서구 관저문예회관
323,2024-11-18,101,대전광역시 서구 관저문예회관
324,2024-11-19,120,대전광역시 서구 관저문예회관
325,2024-11-20,415,대전광역시 서구 관저문예회관
326,2024-11-21,237,대전광역시 서구 관저문예회관
327,2024-11-22,269,대전광역시 서구 관저문예회관
328,2024-11-23,137,대전광역시 서구 관저문예회관
329,2024-11-24,162,대전광역시 서구 관저문예회관
330,2024-11-25,145,대전광역시 서구 관저문예회관
331,2024-11-26,258,대전광역시 서구 관저문예회관
332,2024-11-27,220,대전광역시 서구 관저문예회관
333,2024-11-28,240,대전광역시 서구 관저문예회관
334,2024-11-29,186,대전광역시 서구 관저문예회관
335,2024-11-30,323,대전광역시 서구 관저문예회관
336,2024-12-01,148,대전광역시 서구 관저문예회관
337,2024-12-02,110,대전광역시 서구 관저문예회관
338,2024-12-03,123,대전광역시 서구 관저문예회관
339,2024-12-04,127,대전광역시 서구 관저문예회관
340,2024-12-05,132,대전광역시 서구 관저문예회관
341,2024-12-06,142,대전광역시 서구 관저문예회관
342,2024-12-07,369,대전광역시 서구 관저문예회관
343,2024-12-08,88,대전광역시 서구 관저문예회관
344,2024-12-09,119,대전광역시 서구 관저문예회관
345,2024-12-10,135,대전광역시 서구 관저문예회관
346,2024-12-11,228,대전광역시 서구 관저문예회관
347,2024-12-12,215,대전광역시 서구 관저문예회관
348,2024-12-13,105,대전광역시 서구 관저문예회관
349,2024-12-14,96,대전광역시 서구 관저문예회관
350,2024-12-15,62,대전광역시 서구 관저문예회관
351,2024-12-16,82,대전광역시 서구 관저문예회관
352,2024-12-17,68,대전광역시 서구 관저문예회관
353,2024-12-18,84,대전광역시 서구 관저문예회관
354,2024-12-19,141,대전광역시 서구 관저문예회관
355,2024-12-20,125,대전광역시 서구 관저문예회관
356,2024-12-21,85,대전광역시 서구 관저문예회관
357,2024-12-22,87,대전광역시 서구 관저문예회관
358,2024-12-23,78,대전광역시 서구 관저문예회관
359,2024-12-24,56,대전광역시 서구 관저문예회관
360,2024-12-25,278,대전광역시 서구 관저문예회관
361,2024-12-26,73,대전광역시 서구 관저문예회관
362,2024-12-27,83,대전광역시 서구 관저문예회관
363,2024-12-28,82,대전광역시 서구 관저문예회관
364,2024-12-29,51,대전광역시 서구 관저문예회관
365,2024-12-30,47,대전광역시 서구 관저문예회관
366,2024-12-31,241,대전광역시 서구 관저문예회관
367,2025-01-01,92,대전광역시 서구 관저문예회관
368,2025-01-02,245,대전광역시 서구 관저문예회관
369,2025-01-03,143,대전광역시 서구 관저문예회관
370,2025-01-04,119,대전광역시 서구 관저문예회관
371,2025-01-05,74,대전광역시 서구 관저문예회관
372,2025-01-06,74,대전광역시 서구 관저문예회관
373,2025-01-07,68,대전광역시 서구 관저문예회관
374,2025-01-08,185,대전광역시 서구 관저문예회관
375,2025-01-09,119,대전광역시 서구 관저문예회관
376,2025-01-10,138,대전광역시 서구 관저문예회관
377,2025-01-11,65,대전광역시 서구 관저문예회관
378,2025-01-12,274,대전광역시 서구 관저문예회관
379,2025-01-13,171,대전광역시 서구 관저문예회관
380,2025-01-14,78,대전광역시 서구 관저문예회관
381,2025-01-15,76,대전광역시 서구 관저문예회관
382,2025-01-16,76,대전광역시 서구 관저문예회관
383,2025-01-17,86,대전광역시 서구 관저문예회관
384,2025-01-18,109,대전광역시 서구 관저문예회관
385,2025-01-19,98,대전광역시 서구 관저문예회관
386,2025-01-20,85,대전광역시 서구 관저문예회관
387,2025-01-21,121,대전광역시 서구 관저문예회관
388,2025-01-22,73,대전광역시 서구 관저문예회관
389,2025-01-23,85,대전광역시 서구 관저문예회관
390,2025-01-24,91,대전광역시 서구 관저문예회관
391,2025-01-25,101,대전광역시 서구 관저문예회관
392,2025-01-26,156,대전광역시 서구 관저문예회관
393,2025-01-27,77,대전광역시 서구 관저문예회관
394,2025-01-28,107,대전광역시 서구 관저문예회관
395,2025-01-29,118,대전광역시 서구 관저문예회관
396,2025-01-30,67,대전광역시 서구 관저문예회관
397,2025-01-31,120,대전광역시 서구 관저문예회관
398,2025-02-01,75,대전광역시 서구 관저문예회관
399,2025-02-02,68,대전광역시 서구 관저문예회관
400,2025-02-03,242,대전광역시 서구 관저문예회관
401,2025-02-04,266,대전광역시 서구 관저문예회관
402,2025-02-05,163,대전광역시 서구 관저문예회관
403,2025-02-06,86,대전광역시 서구 관저문예회관
404,2025-02-07,70,대전광역시 서구 관저문예회관
405,2025-02-08,133,대전광역시 서구 관저문예회관
406,2025-02-09,99,대전광역시 서구 관저문예회관
407,2025-02-10,72,대전광역시 서구 관저문예회관
408,2025-02-11,105,대전광역시 서구 관저문예회관
